기관,담당부서,날짜,제목,링크
행정안전부,주소정보혁신과,2026-09-10,몽골 칭길테구 ‘게르’에서도 한국형 건물번호판 본다!,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=129416
산림청,산림청,2026-09-10,"[남부지방산림청] 박은식 산림청장, 여름철 호우 대비 남부지방산림청 산사태 예방·...  박은식 산림청장은 21일 남부지방산림청 산림재난종합상황실에서 여름철 호우 대비 산사태 예방·대응 태세를 점검하기 위해 회의를 개최했다.이날 점검회의에서는 여름철 집중호우가 예상됨에 따라 산불피해지와 산사태취약지역 점검 현황, 재난 발생 시 신속 대응 및 주민대피 체계 ...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=1msy6QxjAQ5LwZoDaNbZtk1JJdjQ1Nqw7VlFgK2ahCNQXPosT878ca2pKyTFbVYx.frswas02_servlet_engine5?nttId=3224101&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=2&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
산림청,산림청,2026-09-10,"[남부지방산림청] 남부지방산림청, 산림유전자원보호구역 보존을 위한 관리 강화  남부지방산림청(청장 이종수)은 산림생태계와 희귀 식물자원을 체계적으로 보존하기 위해 남부지방산림청 관할 내 산림유전자원보호구역 관리를 강화한다고 31일 밝혔다. 산림유전자원보호구역은 식물의 유전자와 종 또는 산림생태계의 보전을 위하여 특별히 보호가 필요한 지역으로, 남...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224103&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
행정안전부,사회연대경제제도과,2026-09-10,제8회 대한민국 사회연대경제박람회 성공개최를 위한 민관공동추진위원회 출범,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=129415
산림청,산림청,2026-09-10,"[남부지방산림청] 남부지방산림청, 거제·통영에 고성능산불진화차 및 산림재난특수진화...  남부지방산림청은 기록적인 집중호우로 피해가 발생한 경남 거제시와 통영시 일대에 피해수습을 위해 고성능·다목적산불진화차 및 굴삭기·트럭 등 총 16대의 장비와 산림재난특수진화대 등 지원인력 44명을 긴급 현장에 투입했다.남부지방산림청은 지방정부와 협력하여 신속한 수습 및...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224105&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
산림청,산림청,2026-09-10,"[남부지방산림청] 남부지방산림청, “을지연습 연계 합동 산불진화훈련” 실시  남부지방산림청(청장 이종수)은 19일 청송군 임업인종합연수원에서 15개 기관, 80여 명이 참석한 가운데 을지연습(8월 18∼21일)과 연계한 유관기관 합동 산불진화훈련을 실시했다고 밝혔다. * 남부지방산림청(영덕·울진국유림관리소), 동해안산불방지센터, 안동·울진산림항...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224106&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
산림청,산림청,2026-09-10,"[남부지방산림청] 남부지방산림청, 실전 같은 대테러 훈련으로 비상 대응 역량 강화  남부지방산림청(청장 이종수)은 20일 을지연습과 연계해 50사단 123여단, 경북경찰특공대, 안동경찰서, 안동소방서 등 관계기관과 함께 실전과 같은 대테러 합동훈련을 실시했다고 밝혔다. 이번 훈련은 실제 비상상황을 가정해 관계기관 간 유기적인 협조체계를 점검하고, 현장...",https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do;jsessionid=mpgEjbDLcBBdpH06a811iItMiwSaw1Fx7QZ7pPJN4xepiKftTy4Bykupfa80pJkU.frswas02_servlet_engine5?nttId=3224107&bbsId=BBSMSTR_1036&pageUnit=10&pageIndex=1&searchtitle=title&searchcont=&searchkey=&searchwriter=&searchWrd=&ctgryLrcls=&ctgryMdcls=&ctgrySmcls=&ntcStartDt=&ntcEndDt=&mn=NKFS_04_02_01&orgId=
서울특별시,양성평등담당관,2026-09-10,"3년간 63만 개 보급된 서울시 안심물품 3종, '서울안심벨'로 재탄생",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466099
서울특별시,미래한강본부,2026-09-10,"서울시, 한강에 피지컬 AI 활용한 ‘생명안전망’구축한다",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466098
서울특별시,복지정책과,2026-09-10,"(엠바고14시) 서울시,‘제24회 복지상’수상자 10명 선정… 대상에‘한림화상재단’",https://www.seoul.go.kr/news/news_report.do?bbsNo=158&nttNo=466091
